,actual,predicted
235,1918.9999947547913,1991.0115728378296
236,1917.499999165535,1990.6573150157928
237,1917.9999891519547,1990.3057483434677
238,1915.3000483512878,1989.919632434845
239,1913.3000371456146,1989.514473438263
240,1907.599977016449,1989.0491864681244
241,1893.8000432252884,1988.4952709674835
242,1897.699954867363,1987.9949734210968
243,1887.5999674797058,1987.418401002884
244,1888.0000004768372,1986.7759594917297
245,1886.9999948740005,1986.0571918487549
246,1893.000002861023,1985.3485224246979
247,1893.1999424695969,1984.5347187519073
248,1888.0000004768372,1983.8289711475372
249,1890.1999512910843,1983.1047186851501
250,1889.099963068962,1982.271231174469
251,1885.0000092983246,1981.2893203496933
252,1881.9000355005264,1980.3048721551895
253,1867.59998357296,1979.2575023174286
254,1872.9999933242798,1978.082136273384
255,1876.0000101327896,1976.8701705932617
256,1875.5999771356583,1975.6374702453613
257,1878.6999509334564,1974.3752185106277
258,1861.499992966652,1972.9756412506104
259,1863.800054550171,1971.5941075086594
260,1866.4000127315521,1970.1515231132507
261,1863.9999941587448,1968.636303305626
262,1863.1999537944794,1967.0384267568588
263,1868.900013923645,1965.2825669050217
264,1869.5000121593475,1963.502179145813
265,1869.5999691486359,1961.947489142418
266,1858.9000347852707,1960.3555331230164
267,1870.1999417543411,1958.7137523889542
268,1877.8000560998917,1956.7970643043518
269,1877.9999957084656,1955.160794019699
270,1877.0999727249146,1953.3956048488617
271,1877.9999957084656,1951.3715527057648
272,1869.400029540062,1949.0141055583954
273,1883.9000210762024,1946.1576167345047
274,1889.0000060796738,1942.629468202591
275,1892.9000202417374,1938.2030395269394
276,1895.19995367527,1934.891977071762
277,1895.4000214338303,1931.816787481308
278,1894.0000084638596,1929.027013540268
279,1888.0999830961227,1926.4997420310974
280,1890.699941277504,1924.4027981758118
281,1901.5000120401382,1922.6855883598328
282,1909.9000129699707,1921.1387667655945
283,1908.0000100135803,1919.842452764511
284,1905.6999484300613,1918.9217720031738
285,1898.4999952316284,1918.1949821710587
286,1900.9999964237213,1917.6527539491653
287,1898.0000052452087,1917.068851351738
288,1897.300050020218,1916.3210705518723
289,1896.1999592781067,1915.5337682962418
290,1905.5000088214874,1914.4567958116531
291,1908.1999496221542,1913.524709701538
292,1908.5,1912.7959719896317
293,1914.999997973442,1912.010873913765
294,1918.5000047683716,1911.5707043409348
295,1913.9999923706055,1911.3779155015945
296,1911.1999408006668,1911.210782289505
297,1913.9999923706055,1911.2012991905212
298,1917.9000321626663,1911.084657073021
299,1923.099974155426,1911.0241702795029
300,1922.5000015497208,1911.019018650055
301,1928.9000169038773,1911.0952166318893
302,1923.999997138977,1911.4000854492188
303,1922.0999685525894,1911.9812200069427
304,1926.9999883174896,1912.5372371673584
305,1929.9000225067139,1913.2080254554749
306,1927.3000386953354,1913.9227948188782
307,1927.5999865531921,1914.5883033275604
308,1918.5999873876572,1915.2035257816315
309,1910.800061583519,1915.9061977863312
310,1912.9000297784805,1916.6350380182266
311,1915.4999879598618,1917.263741850853
312,1918.3000395298004,1917.7712157964706
313,1913.5000023841858,1918.2285830974579
314,1915.0999805927277,1918.7622252702713
315,1919.9000177383423,1919.2793873548508
316,1919.699949979782,1919.8873052597046
317,1922.000011563301,1920.5277988910675
318,1925.0000027418137,1921.164909362793
319,1926.0000083446503,1921.8590978384018
320,1927.9999939203262,1922.7169851064682
321,1924.699952363968,1923.6377427577972
322,1924.1999623775482,1924.545531630516
323,1921.1999455690384,1925.416720867157
324,1920.4999903440475,1926.2579230070114
325,1921.4000133275986,1926.991837978363
326,1922.5000015497208,1927.696047782898
327,1919.0999773740768,1928.318241596222
328,1918.9999947547913,1928.9099613428116
329,1926.49999833107,1929.3753508329391
330,1926.49999833107,1929.8639611005783
331,1929.0999821424484,1930.4058048725128
332,1925.6999579668045,1931.117626786232
333,1930.0000051259995,1931.7443314790726
334,1934.40003490448,1932.3375121355057
335,1936.1999527215958,1932.855776309967
336,1940.4999998807907,1933.4893242120743
337,1935.0000075101852,1934.2055288553238
338,1931.9999907016754,1934.901280760765
339,1930.0000051259995,1935.507686495781
340,1928.9999995231628,1936.0604486465454
341,1925.0000027418137,1936.5260175466537
342,1925.0000027418137,1936.840984582901
343,1926.8000487089157,1937.0169088840485
344,1926.49999833107,1937.2515515089035
345,1926.9999883174896,1937.5493208169937
346,1925.400035738945,1937.8798965215683
347,1925.4999927282333,1938.216444015503
348,1920.900023341179,1938.5272589921951
349,1923.5999641418457,1938.8523242473602
350,1924.8000375032425,1939.1037545204163
351,1926.0999653339386,1939.2570219039917
352,1927.400021314621,1939.3177649974823
353,1926.9000313282013,1939.366692662239
354,1926.0000083446503,1939.3470857143402
355,1925.6999579668045,1939.2771158218384
356,1925.1999423503876,1939.2248306274414
357,1925.3000531196594,1939.1891536712646
358,1924.500012755394,1939.1540662050247
359,1921.80004632473,1938.9990816116333
360,1924.4000301361084,1938.7890437841415
361,1925.599975347519,1938.513905763626
362,1925.0000027418137,1938.159904241562
363,1922.199951171875,1937.9245439767838
364,1921.5999785661697,1937.7431092262268
365,1919.5000103712082,1937.580999493599
366,1918.9999947547913,1937.3815981149673
